# L=4,N=4,U=100.0000,mu=1.0000,t=1.0000,eta=0.2143,beta=2.0000,M=2000000
# H_0/t              H_1/t                E/t                  N             
-1.7763568394002505e-15 -0.0                 -1.7763568394002505e-15 4.0                 
-1.7763568394002505e-15 -0.0                 -1.7763568394002505e-15 4.0                 
-1.5987211554602254e-14 -0.0                 -1.5987211554602254e-14 4.0                 
-1.6431300764452317e-14 -0.0                 -1.6431300764452317e-14 4.0                 
-1.4654943925052066e-14 -0.0                 -1.4654943925052066e-14 4.0                 
-1.0658141036401503e-14 -0.0                 -1.0658141036401503e-14 4.0                 
-1.1546319456101628e-14 -0.0                 -1.1546319456101628e-14 4.0                 
-1.199040866595169e-14 -0.0                 -1.199040866595169e-14 4.0                 
-1.2878587085651816e-14 -0.0                 -1.2878587085651816e-14 4.0                 
-7.993605777301127e-15 -0.0                 -7.993605777301127e-15 4.0                 
-7.105427357601002e-15 -0.0                 -7.105427357601002e-15 4.0                 
-7.105427357601002e-15 -0.0                 -7.105427357601002e-15 4.0                 
-7.549516567451064e-15 -0.0                 -7.549516567451064e-15 4.0                 
-7.549516567451064e-15 -0.0                 -7.549516567451064e-15 4.0                 
-1.021405182655144e-14 -0.0                 -1.021405182655144e-14 4.0                 
-1.2434497875801753e-14 -0.0                 -1.2434497875801753e-14 4.0                 
-1.199040866595169e-14 -0.0                 -1.199040866595169e-14 4.0                 
-1.1102230246251565e-14 -0.0                 -1.1102230246251565e-14 4.0                 
-7.105427357601002e-15 -0.0                 -7.105427357601002e-15 4.0                 
-1.7763568394002505e-15 -0.0                 -1.7763568394002505e-15 4.0                 
-7.993605777301127e-15 -0.0                 -7.993605777301127e-15 4.0                 
-6.217248937900877e-15 -0.0                 -6.217248937900877e-15 4.0                 
-5.329070518200751e-15 -0.0                 -5.329070518200751e-15 4.0                 
-4.440892098500626e-15 -0.0                 -4.440892098500626e-15 4.0                 
-5.329070518200751e-15 -0.0                 -5.329070518200751e-15 4.0                 
-2.6645352591003757e-15 -0.0                 -2.6645352591003757e-15 4.0                 
0.0                  -0.0                 0.0                  4.0                 
-3.552713678800501e-15 -0.0                 -3.552713678800501e-15 4.0                 
-3.552713678800501e-15 -0.0                 -3.552713678800501e-15 4.0                 
-7.105427357601002e-15 -0.0                 -7.105427357601002e-15 4.0                 
-6.217248937900877e-15 -0.0                 -6.217248937900877e-15 4.0                 
-4.440892098500626e-15 -0.0                 -4.440892098500626e-15 4.0                 
-1.4210854715202004e-14 -0.0                 -1.4210854715202004e-14 4.0                 
-1.2878587085651816e-14 -0.0                 -1.2878587085651816e-14 4.0                 
-9.325873406851315e-15 -0.0                 -9.325873406851315e-15 4.0                 
-1.2878587085651816e-14 -0.0                 -1.2878587085651816e-14 4.0                 
-1.0658141036401503e-14 -0.0                 -1.0658141036401503e-14 4.0                 
-5.773159728050814e-15 -0.0                 -5.773159728050814e-15 4.0                 
-1.3322676295501878e-15 -0.0                 -1.3322676295501878e-15 4.0                 
-2.6645352591003757e-15 -0.0                 -2.6645352591003757e-15 4.0                 
-5.329070518200751e-15 -0.0                 -5.329070518200751e-15 4.0                 
-7.993605777301127e-15 -0.0                 -7.993605777301127e-15 4.0                 
-8.43769498715119e-15 -0.0                 -8.43769498715119e-15 4.0                 
-1.021405182655144e-14 -0.0                 -1.021405182655144e-14 4.0                 
-8.881784197001252e-15 -0.0                 -8.881784197001252e-15 4.0                 
-7.105427357601002e-15 -0.0                 -7.105427357601002e-15 4.0                 
-7.105427357601002e-15 -0.0                 -7.105427357601002e-15 4.0                 
-6.661338147750939e-15 -0.0                 -6.661338147750939e-15 4.0                 
-7.993605777301127e-15 -0.0                 -7.993605777301127e-15 4.0                 
-3.9968028886505635e-15 -0.0                 -3.9968028886505635e-15 4.0                 
-7.105427357601002e-15 -0.0                 -7.105427357601002e-15 4.0                 
-5.773159728050814e-15 -0.0                 -5.773159728050814e-15 4.0                 
-1.1546319456101628e-14 -0.0                 -1.1546319456101628e-14 4.0                 
-1.6431300764452317e-14 -0.0                 -1.6431300764452317e-14 4.0                 
-2.6645352591003757e-14 -0.0                 -2.6645352591003757e-14 4.0                 
-2.7533531010703882e-14 -0.0                 -2.7533531010703882e-14 4.0                 
-2.6645352591003757e-14 -0.0                 -2.6645352591003757e-14 4.0                 
-2.531308496145357e-14 -0.0                 -2.531308496145357e-14 4.0                 
-2.4868995751603507e-14 -0.0                 -2.4868995751603507e-14 4.0                 
-2.220446049250313e-14 -0.0                 -2.220446049250313e-14 4.0                 
-2.1316282072803006e-14 -0.0                 -2.1316282072803006e-14 4.0                 
-2.042810365310288e-14 -0.0                 -2.042810365310288e-14 4.0                 
-1.9984014443252818e-14 -0.0                 -1.9984014443252818e-14 4.0                 
-2.042810365310288e-14 -0.0                 -2.042810365310288e-14 4.0                 
