# L=4,N=4,U=2.0000,mu=1.0000,t=1.0000,eta=0.1225,beta=2.0000,M=2000000
# H_0/t              H_1/t                E/t                  N             
1.9999999999999978   -0.0                 1.9999999999999978   4.0                 
1.999999999999997    -2.5                 -0.5000000000000031  4.0                 
2.0000000000000018   -2.5                 -0.4999999999999982  4.0                 
1.7763568394002505e-15 -5.0                 -4.999999999999998   4.0                 
-8.881784197001252e-16 -5.0                 -5.000000000000001   4.0                 
5.999999999999998    -7.5                 -1.5000000000000018  4.0                 
-3.1086244689504383e-15 -0.0                 -3.1086244689504383e-15 4.0                 
-4.440892098500626e-15 -0.0                 -4.440892098500626e-15 4.0                 
-4.884981308350689e-15 -5.0                 -5.000000000000005   4.0                 
-3.9968028886505635e-15 -5.0                 -5.0000000000000036  4.0                 
-1.7763568394002505e-15 -5.0                 -5.000000000000002   4.0                 
2.0                  -2.5                 -0.5                 4.0                 
2.0000000000000018   -5.0                 -2.9999999999999982  4.0                 
2.0000000000000018   -5.0                 -2.9999999999999982  4.0                 
2.000000000000006    -5.0                 -2.999999999999994   4.0                 
2.000000000000007    -5.0                 -2.999999999999993   4.0                 
2.000000000000006    -5.0                 -2.999999999999994   4.0                 
2.0000000000000044   -0.0                 2.0000000000000044   4.0                 
2.0000000000000053   -0.0                 2.0000000000000053   4.0                 
2.000000000000006    -0.0                 2.000000000000006    4.0                 
2.0000000000000053   -0.0                 2.0000000000000053   4.0                 
2.000000000000006    -0.0                 2.000000000000006    4.0                 
2.000000000000006    -0.0                 2.000000000000006    4.0                 
2.0000000000000053   -0.0                 2.0000000000000053   4.0                 
2.0000000000000053   -0.0                 2.0000000000000053   4.0                 
4.440892098500626e-15 -0.0                 4.440892098500626e-15 4.0                 
6.000000000000007    -10.0                -3.999999999999993   4.0                 
6.000000000000007    -10.0                -3.999999999999993   4.0                 
2.0000000000000018   -5.0                 -2.9999999999999982  4.0                 
1.7763568394002505e-15 -5.0                 -4.999999999999998   4.0                 
2.000000000000015    -7.5                 -5.499999999999985   4.0                 
2.0000000000000107   -2.5                 -0.49999999999998934 4.0                 
2.0000000000000115   -10.0                -7.9999999999999885  4.0                 
1.509903313490213e-14 -5.0                 -4.999999999999985   4.0                 
1.509903313490213e-14 -5.0                 -4.999999999999985   4.0                 
2.000000000000016    -5.0                 -2.999999999999984   4.0                 
2.000000000000016    -5.0                 -2.999999999999984   4.0                 
1.5987211554602254e-14 -5.0                 -4.999999999999984   4.0                 
2.000000000000015    -5.0                 -2.999999999999985   4.0                 
2.000000000000016    -5.0                 -2.999999999999984   4.0                 
2.000000000000015    -5.0                 -2.999999999999985   4.0                 
2.0000000000000178   -10.0                -7.999999999999982   4.0                 
2.0000000000000178   -10.0                -7.999999999999982   4.0                 
2.000000000000015    -2.5                 -0.4999999999999849  4.0                 
4.0000000000000115   -7.5                 -3.4999999999999885  4.0                 
2.0000000000000133   -2.5                 -0.4999999999999867  4.0                 
6.000000000000014    -5.0                 1.0000000000000142   4.0                 
6.000000000000014    -5.0                 1.0000000000000142   4.0                 
6.000000000000016    -12.5                -6.499999999999984   4.0                 
6.000000000000018    -12.5                -6.499999999999982   4.0                 
2.000000000000022    -5.0                 -2.999999999999978   4.0                 
2.000000000000022    -5.0                 -2.999999999999978   4.0                 
2.0000000000000213   -5.0                 -2.9999999999999787  4.0                 
2.0000000000000187   -5.0                 -2.9999999999999813  4.0                 
2.0000000000000195   -5.0                 -2.9999999999999805  4.0                 
2.0000000000000284   -7.5                 -5.499999999999972   4.0                 
2.0000000000000284   -7.5                 -5.499999999999972   4.0                 
2.0000000000000284   -7.5                 -5.499999999999972   4.0                 
2.0000000000000284   -7.5                 -5.499999999999972   4.0                 
2.0000000000000284   -7.5                 -5.499999999999972   4.0                 
2.0000000000000275   -7.5                 -5.4999999999999725  4.0                 
2.0000000000000275   -7.5                 -5.4999999999999725  4.0                 
2.0000000000000275   -7.5                 -5.4999999999999725  4.0                 
2.0000000000000355   -5.0                 -2.9999999999999645  4.0                 
2.0000000000000355   -5.0                 -2.9999999999999645  4.0                 
2.0000000000000364   -5.0                 -2.9999999999999636  4.0                 
2.000000000000038    -5.0                 -2.999999999999962   4.0                 
2.00000000000004     -5.0                 -2.99999999999996    4.0                 
