# L = 4 , N = 4, t = 0, U = 100, MC_Steps = 1.0E+06
# mu/U     n_loc                 e_n_loc                
  -1.00    0                     0       
  -0.75    0                     0
  -0.50    0                     0              
  -0.25    0                     0                 
  -0.10    0                     0    
  -0.05    0                     0
  -0.01    0                     0
   0.00    0.30352740            0
   0.01    1.0                   -0.01
   0.05    1.0                   -0.05
   0.10    1.0                   -0.1
   0.25    1.0                   -0.25
   0.50    1.0                   -0.5
   0.75    1.0                   -0.75
   0.90    1.0                   -0.90
   0.95    1.0                   -0.95
   0.99    1.0                   -0.99
   1.00    1.48792835            -1.00
   1.01    2.0                   -1.02
   1.05    2.0                   -1.1
   1.10    2.0                   -1.2
   1.25    2.0                   -1.5
   1.50    2.0                   -2.0
   1.75    2.0                   -2.5
