# M=4, N=4, PBC
# U/t E0/t S2(n=2) S2(l=2) Eop(l=2)
0.0 -8.000000000000002 8.881784197001256e-16 1.2966822024302045 -1.1102230246251536e-16
1.0 -6.681733497641256 0.04253957822375201 1.1353685196649912 0.0027226685264283607
2.0 -5.613864939117687 0.12599604629527208 1.0172255975435833 0.006051007459469265
3.0 -4.721363934828824 0.2347865735295053 0.8993223833412447 0.008788767362350739
4.0 -3.9765130137420543 0.3692087585640932 0.7702326549445134 0.011349973447758479
5.0 -3.364262229567352 0.5264873811007749 0.635984394895329 0.013826041010175564
6.0 -2.8697399783374693 0.6963293094803785 0.5099624942327207 0.01595524369369191
7.0 -2.47505670500198 0.8642800255633545 0.40255116088519266 0.01745678020997805
8.0 -2.1610571997712014 1.0179350605545796 0.3170139983604843 0.018237590262303073
9.0 -1.9100569551608657 1.1504906632429857 0.25141472398812387 0.018380412308557886
10.0 -1.7073975372483998 1.2604687547446662 0.2018374508123394 0.01804552529409403
11.0 -1.541691208444117 1.349677534334225 0.16436712821238048 0.017394676997209098
12.0 -1.4043778357715808 1.4212854020459404 0.1358108850127938 0.016558386610398393
13.0 -1.2891013254054347 1.4786359433113891 0.11377702060112738 0.01563058598094568
14.0 -1.1911417583681392 1.5247052993244645 0.09653674395246759 0.014674249163279812
15.0 -1.1069696110484795 1.5619394151629886 0.08285469635052642 0.0137293486823461
16.0 -1.0339175139514507 1.5922689148797033 0.07184716912437833 0.01281986775665623
17.0 -0.9699450286895431 1.617187797234342 0.06287716497948628 0.011959107724485208
18.0 -0.9134715237103768 1.6378428703657117 0.055480477514302025 0.011153433785818614
19.0 -0.8632572778475142 1.6551134141792694 0.04931459692737785 0.010404822626866324
20.0 -0.8183183291653225 1.6696756061709295 0.04412353412895125 0.009712557831130264
21.0 -0.7778649104138339 1.6820522768303965 0.03971351080960357 0.009074341465994822
22.0 -0.7412564517742196 1.692650469950362 0.03593602353997199 0.008487013648965645
23.0 -0.707968315983291 1.7017895055665204 0.032675923942618555 0.007947011868272708
24.0 -0.677566924395235 1.7097218810000596 0.029842934273165738 0.00745065879272591
25.0 -0.6496909485850284 1.7166488558193942 0.02736553764144808 0.006994337710448852
26.0 -0.6240369346854253 1.7227321170437868 0.02518652690565503 0.006574594804984444
27.0 -0.6003482025101952 1.7281025577887306 0.02325972496230826 0.00618819419102346
