# L=4,N=4,U=0.0000,mu=-2.8844,t=1.0000,eta=0.1645,beta=1.0000,tau_slice=0.5000,M=500000
# H_0/t              H_1/t                E/t                  N             
11.5376              -5.0                 6.537599999999999    4.0                 
5.7688               -10.0                -4.2312              1.9999999999999996  
5.7688               -5.0                 0.7687999999999997   2.000000000000001   
5.7688               -10.0                -4.2312              2.000000000000001   
5.7688               -0.0                 5.7688               2.0                 
5.7688               -0.0                 5.7688               2.0000000000000004  
5.7688               -0.0                 5.7688               2.0                 
5.7688               -0.0                 5.7688               1.9999999999999998  
11.5376              -0.0                 11.5376              3.9999999999999996  
11.5376              -0.0                 11.5376              3.9999999999999996  
11.5376              -0.0                 11.5376              3.9999999999999987  
2.8844               -5.0                 -2.1156              0.9999999999999983  
0.0                  -0.0                 0.0                  -1.7208456881689926e-15
0.0                  -0.0                 0.0                  -1.7208456881689926e-15
2.8844               -0.0                 2.8844               0.9999999999999983  
5.7688               -0.0                 5.7688               1.9999999999999982  
2.8844               -0.0                 2.8844               0.9999999999999983  
2.8844               -0.0                 2.8844               0.9999999999999983  
2.8844               -0.0                 2.8844               0.9999999999999983  
2.8844               -0.0                 2.8844               0.9999999999999988  
2.8844               -0.0                 2.8844               0.9999999999999987  
5.7688               -5.0                 0.7687999999999997   1.9999999999999982  
5.7688               -5.0                 0.7687999999999997   1.9999999999999982  
5.7688               -5.0                 0.7687999999999997   1.9999999999999984  
5.7688               -5.0                 0.7687999999999997   1.9999999999999984  
5.7688               -15.0                -9.231200000000001   1.9999999999999987  
5.7688               -15.0                -9.231200000000001   1.9999999999999987  
5.7688               -5.0                 0.7687999999999997   1.9999999999999993  
5.7688               -5.0                 0.7687999999999997   1.9999999999999987  
8.6532               -5.0                 3.6532               2.9999999999999996  
8.6532               -5.0                 3.6532               2.999999999999999   
8.6532               -5.0                 3.6532               3.0                 
8.6532               -5.0                 3.6532               3.0000000000000004  
8.6532               -5.0                 3.6532               3.0000000000000004  
8.6532               -5.0                 3.6532               3.0                 
8.6532               -5.0                 3.6532               3.0                 
5.7688               -0.0                 5.7688               1.9999999999999993  
5.7688               -0.0                 5.7688               1.9999999999999993  
8.6532               -0.0                 8.6532               2.999999999999999   
11.5376              -0.0                 11.5376              3.999999999999999   
8.6532               -0.0                 8.6532               2.9999999999999982  
11.5376              -0.0                 11.5376              3.9999999999999982  
11.5376              -5.0                 6.537599999999999    3.9999999999999982  
11.5376              -5.0                 6.537599999999999    3.999999999999998   
11.5376              -5.0                 6.537599999999999    3.9999999999999982  
11.5376              -5.0                 6.537599999999999    3.9999999999999982  
8.6532               -5.0                 3.6532               2.9999999999999987  
