# L = 4 , N = 4, t = 0, U = 100, MC_Steps = 1.0E+06
# mu/U     n_loc                 e_n_loc                
  -1.00    0                     0       
  -0.75    0                     0
  -0.50    0                     0              
  -0.25    0                     0                 
  -0.10    0                     0     
  -0.05    0.00037024            0.00001851
  -0.01    0.06063780            0.00060638
   0.00    0.2965305539691605   -0.10430009226595166
   0.01    0.76416382           -0.00764164
   0.05    0.99881624           -0.04994081
   0.10    0.9999983793595228   -0.10000064825487763
   0.25    1.0                  -0.25
   0.50    1.0                  -0.5
   0.75    1.0                  -0.75
   0.90    1.0000093292632868   -0.9000037316617971
   0.95    1.00106637           -0.94994668
   0.99    1.17208848           -0.98827912
   1.00    1.4948720526871448   -1.1249868520781783
   1.01    1.82763115           -1.01827631
   1.05    1.99846214           -1.09992311
   1.10    1.9999980717613304   -1.200000771293609
   1.25    2.0                  -1.5
   1.50    2.0                  -2.0
   1.75    2.0                  -2.5
