# L=4,N=4,U=0.0000,mu=-2.3333,t=1.0000,eta=0.1629,beta=1.0000,tau_slice=0.5000,M=100000
# H_0/t              H_1/t                E/t                  N             
9.3332               -1.0                 8.3332               4.0                 
4.6666               -4.0                 0.6665999999999999   1.9999999999999993  
4.6666               -4.0                 0.6665999999999999   1.9999999999999991  
4.6666               -6.0                 -1.3334000000000001  1.9999999999999996  
4.6666               -6.0                 -1.3334000000000001  1.9999999999999996  
4.6666               -5.0                 -0.33340000000000014 1.9999999999999996  
2.3333               -2.0                 0.33329999999999993  0.9999999999999994  
2.3333               -2.0                 0.33329999999999993  0.9999999999999994  
2.3333               -2.0                 0.33329999999999993  0.9999999999999996  
2.3333               -2.0                 0.33329999999999993  0.9999999999999996  
0.0                  -0.0                 0.0                  -4.440892098500626e-16
0.0                  -0.0                 0.0                  -4.440892098500626e-16
0.0                  -0.0                 0.0                  -4.440892098500626e-16
0.0                  -0.0                 0.0                  -4.440892098500626e-16
0.0                  -0.0                 0.0                  -4.440892098500626e-16
0.0                  -0.0                 0.0                  -4.440892098500626e-16
0.0                  -0.0                 0.0                  -4.440892098500626e-16
0.0                  -0.0                 0.0                  -4.440892098500626e-16
0.0                  -0.0                 0.0                  -4.440892098500626e-16
4.6666               -1.0                 3.6666               1.9999999999999996  
4.6666               -1.0                 3.6666               1.9999999999999996  
0.0                  -0.0                 0.0                  -5.551115123125783e-16
0.0                  -0.0                 0.0                  -3.469446951953614e-16
2.3333               -1.0                 1.3333               0.9999999999999998  
2.3333               -1.0                 1.3333               0.9999999999999998  
4.6666               -1.0                 3.6666               1.9999999999999996  
0.0                  -0.0                 0.0                  -6.38378239159465e-16
0.0                  -0.0                 0.0                  -6.522560269672795e-16
0.0                  -0.0                 0.0                  -6.661338147750939e-16
0.0                  -0.0                 0.0                  -6.617970060851519e-16
0.0                  -0.0                 0.0                  -6.661338147750939e-16
0.0                  -0.0                 0.0                  -6.661338147750939e-16
0.0                  -0.0                 0.0                  -6.661338147750939e-16
0.0                  -0.0                 0.0                  -6.661338147750939e-16
2.3333               -1.0                 1.3333               0.9999999999999993  
2.3333               -1.0                 1.3333               0.9999999999999992  
4.6666               -2.0                 2.6666               1.9999999999999993  
2.3333               -1.0                 1.3333               0.9999999999999994  
2.3333               -1.0                 1.3333               0.999999999999999   
4.6666               -2.0                 2.6666               1.9999999999999991  
4.6666               -2.0                 2.6666               1.9999999999999993  
4.6666               -2.0                 2.6666               1.9999999999999993  
4.6666               -2.0                 2.6666               1.9999999999999993  
6.9999               -4.0                 2.9999000000000002   2.999999999999999   
2.3333               -1.0                 1.3333               0.9999999999999991  
2.3333               -1.0                 1.3333               0.9999999999999991  
2.3333               -1.0                 1.3333               0.9999999999999992  
0.0                  -0.0                 0.0                  -7.771561172376096e-16
2.3333               -0.0                 2.3333               0.9999999999999992  
2.3333               -2.0                 0.33329999999999993  0.9999999999999991  
6.9999               -4.0                 2.9999000000000002   2.9999999999999996  
2.3333               -1.0                 1.3333               0.9999999999999998  
2.3333               -1.0                 1.3333               0.9999999999999998  
2.3333               -1.0                 1.3333               0.9999999999999993  
2.3333               -1.0                 1.3333               0.999999999999999   
2.3333               -1.0                 1.3333               0.9999999999999996  
2.3333               -1.0                 1.3333               0.9999999999999998  
2.3333               -1.0                 1.3333               0.9999999999999996  
2.3333               -1.0                 1.3333               0.9999999999999996  
2.3333               -1.0                 1.3333               0.9999999999999996  
2.3333               -2.0                 0.33329999999999993  0.9999999999999996  
4.6666               -2.0                 2.6666               1.9999999999999996  
9.3332               -3.0                 6.3332               3.9999999999999996  
9.3332               -2.0                 7.3332               3.9999999999999996  
9.3332               -1.0                 8.3332               4.0                 
9.3332               -2.0                 7.3332               4.0                 
13.9998              -4.0                 9.9998               5.999999999999997   
13.9998              -4.0                 9.9998               5.999999999999997   
11.6665              -4.0                 7.666499999999999    4.999999999999998   
13.9998              -5.0                 8.9998               5.999999999999998   
9.3332               -4.0                 5.3332               4.000000000000001   
9.3332               -4.0                 5.3332               4.000000000000001   
11.6665              -5.0                 6.666499999999999    5.0                 
11.6665              -5.0                 6.666499999999999    5.0                 
11.6665              -4.0                 7.666499999999999    4.999999999999998   
9.3332               -2.0                 7.3332               3.9999999999999964  
9.3332               -3.0                 6.3332               3.999999999999997   
9.3332               -5.0                 4.3332               3.9999999999999964  
9.3332               -5.0                 4.3332               3.999999999999997   
9.3332               -5.0                 4.3332               3.9999999999999964  
11.6665              -7.0                 4.666499999999999    4.9999999999999964  
11.6665              -7.0                 4.666499999999999    4.9999999999999964  
11.6665              -7.0                 4.666499999999999    4.9999999999999964  
11.6665              -6.0                 5.666499999999999    4.9999999999999964  
9.3332               -5.0                 4.3332               3.999999999999996   
9.3332               -6.0                 3.3331999999999997   3.999999999999997   
9.3332               -7.0                 2.3331999999999997   3.9999999999999973  
9.3332               -7.0                 2.3331999999999997   3.9999999999999973  
9.3332               -8.0                 1.3331999999999997   3.9999999999999982  
9.3332               -7.0                 2.3331999999999997   3.999999999999999   
11.6665              -4.0                 7.666499999999999    4.999999999999998   
9.3332               -4.0                 5.3332               4.0                 
4.6666               -1.0                 3.6666               2.0                 
4.6666               -1.0                 3.6666               1.9999999999999998  
4.6666               -2.0                 2.6666               1.9999999999999991  
4.6666               -3.0                 1.6665999999999999   1.9999999999999993  
4.6666               -2.0                 2.6666               1.9999999999999996  
4.6666               -2.0                 2.6666               1.9999999999999998  
4.6666               -1.0                 3.6666               2.0                 
4.6666               -1.0                 3.6666               2.0                 
4.6666               -1.0                 3.6666               2.0                 
4.6666               -1.0                 3.6666               2.0                 
4.6666               -1.0                 3.6666               2.0                 
4.6666               -1.0                 3.6666               1.9999999999999998  
4.6666               -2.0                 2.6666               2.0                 
4.6666               -2.0                 2.6666               1.9999999999999996  
4.6666               -2.0                 2.6666               1.9999999999999993  
4.6666               -2.0                 2.6666               1.9999999999999996  
4.6666               -3.0                 1.6665999999999999   1.9999999999999998  
4.6666               -3.0                 1.6665999999999999   1.9999999999999993  
2.3333               -1.0                 1.3333               0.9999999999999994  
0.0                  -0.0                 0.0                  -5.273559366969494e-16
0.0                  -0.0                 0.0                  -5.273559366969494e-16
0.0                  -0.0                 0.0                  -5.273559366969494e-16
0.0                  -0.0                 0.0                  -5.273559366969494e-16
0.0                  -0.0                 0.0                  -5.273559366969494e-16
0.0                  -0.0                 0.0                  -5.551115123125783e-16
2.3333               -1.0                 1.3333               0.9999999999999993  
2.3333               -3.0                 -0.6667000000000001  0.9999999999999993  
2.3333               -3.0                 -0.6667000000000001  0.9999999999999992  
9.3332               -4.0                 5.3332               3.9999999999999987  
9.3332               -9.0                 0.3331999999999997   3.9999999999999982  
9.3332               -8.0                 1.3331999999999997   3.999999999999998   
9.3332               -8.0                 1.3331999999999997   3.999999999999998   
9.3332               -7.0                 2.3331999999999997   3.9999999999999987  
9.3332               -5.0                 4.3332               3.999999999999999   
9.3332               -5.0                 4.3332               3.9999999999999987  
9.3332               -5.0                 4.3332               3.999999999999999   
6.9999               -4.0                 2.9999000000000002   2.9999999999999982  
2.3333               -0.0                 2.3333               0.9999999999999991  
0.0                  -0.0                 0.0                  -6.661338147750939e-16
2.3333               -0.0                 2.3333               0.9999999999999993  
2.3333               -0.0                 2.3333               0.9999999999999996  
2.3333               -1.0                 1.3333               0.9999999999999997  
2.3333               -1.0                 1.3333               0.9999999999999997  
2.3333               -1.0                 1.3333               0.9999999999999993  
2.3333               -1.0                 1.3333               0.9999999999999993  
2.3333               -1.0                 1.3333               0.9999999999999993  
0.0                  -0.0                 0.0                  -6.661338147750939e-16
2.3333               -1.0                 1.3333               0.9999999999999993  
0.0                  -0.0                 0.0                  -6.661338147750939e-16
4.6666               -3.0                 1.6665999999999999   1.9999999999999993  
4.6666               -4.0                 0.6665999999999999   1.9999999999999996  
4.6666               -4.0                 0.6665999999999999   1.9999999999999996  
4.6666               -4.0                 0.6665999999999999   1.9999999999999991  
4.6666               -4.0                 0.6665999999999999   1.9999999999999993  
6.9999               -5.0                 1.9999000000000002   2.999999999999999   
6.9999               -7.0                 -9.999999999976694e-05 2.9999999999999987  
6.9999               -7.0                 -9.999999999976694e-05 2.9999999999999987  
6.9999               -8.0                 -1.0000999999999998  2.999999999999999   
6.9999               -8.0                 -1.0000999999999998  2.999999999999999   
6.9999               -8.0                 -1.0000999999999998  2.999999999999999   
6.9999               -7.0                 -9.999999999976694e-05 2.9999999999999982  
6.9999               -3.0                 3.9999000000000002   2.9999999999999982  
6.9999               -3.0                 3.9999000000000002   2.9999999999999982  
9.3332               -2.0                 7.3332               3.9999999999999987  
9.3332               -3.0                 6.3332               3.9999999999999982  
11.6665              -7.0                 4.666499999999999    4.999999999999997   
11.6665              -8.0                 3.666499999999999    4.999999999999997   
11.6665              -8.0                 3.666499999999999    4.999999999999997   
11.6665              -8.0                 3.666499999999999    4.999999999999997   
11.6665              -8.0                 3.666499999999999    4.999999999999998   
11.6665              -9.0                 2.666499999999999    4.999999999999999   
11.6665              -8.0                 3.666499999999999    5.0                 
11.6665              -7.0                 4.666499999999999    5.0                 
11.6665              -3.0                 8.6665               4.999999999999999   
11.6665              -3.0                 8.6665               5.0                 
11.6665              -3.0                 8.6665               5.000000000000001   
13.999799999999999   -5.0                 8.999799999999999    6.0                 
9.3332               -6.0                 3.3331999999999997   4.0                 
9.3332               -6.0                 3.3331999999999997   4.0                 
9.3332               -6.0                 3.3331999999999997   4.0                 
9.3332               -6.0                 3.3331999999999997   4.000000000000001   
9.3332               -5.0                 4.3332               3.9999999999999996  
11.6665              -5.0                 6.666499999999999    4.999999999999999   
9.3332               -5.0                 4.3332               3.9999999999999996  
9.3332               -7.0                 2.3331999999999997   4.0                 
9.3332               -6.0                 3.3331999999999997   4.0                 
9.3332               -6.0                 3.3331999999999997   4.0                 
11.6665              -4.0                 7.666499999999999    5.0                 
9.3332               -5.0                 4.3332               3.9999999999999996  
9.3332               -4.0                 5.3332               4.0                 
9.3332               -5.0                 4.3332               4.0                 
9.3332               -5.0                 4.3332               3.9999999999999996  
9.3332               -5.0                 4.3332               3.9999999999999996  
9.3332               -5.0                 4.3332               3.9999999999999996  
9.3332               -5.0                 4.3332               3.9999999999999996  
9.3332               -5.0                 4.3332               3.999999999999999   
