# L=4,N=4,U=0.0000,mu=-2.5555,t=1.0000,eta=0.1803,beta=1.0000,tau_slice=0.5000,M=100000
# H_0/t              H_1/t                E/t                  N             
5.111                -2.0                 3.1109999999999998   1.9999999999999993  
5.111                -5.0                 0.11099999999999977  1.999999999999999   
5.111                -5.0                 0.11099999999999977  1.9999999999999987  
5.111                -5.0                 0.11099999999999977  1.999999999999999   
5.111                -5.0                 0.11099999999999977  1.999999999999999   
5.111                -5.0                 0.11099999999999977  1.9999999999999991  
5.111                -5.0                 0.11099999999999977  1.9999999999999991  
5.111                -5.0                 0.11099999999999977  1.9999999999999991  
5.111                -5.0                 0.11099999999999977  1.9999999999999991  
5.111                -5.0                 0.11099999999999977  1.9999999999999991  
5.111                -5.0                 0.11099999999999977  1.9999999999999991  
5.111                -3.0                 2.1109999999999998   1.9999999999999991  
2.5555               -2.0                 0.5554999999999999   0.9999999999999988  
5.111                -2.0                 3.1109999999999998   1.9999999999999991  
5.111                -2.0                 3.1109999999999998   1.9999999999999993  
2.5555               -1.0                 1.5554999999999999   0.9999999999999993  
2.5555               -1.0                 1.5554999999999999   0.999999999999999   
0.0                  -0.0                 0.0                  -1.2212453270876722e-15
0.0                  -0.0                 0.0                  -1.2212453270876722e-15
2.5555               -0.0                 2.5555               0.9999999999999987  
0.0                  -0.0                 0.0                  -1.3322676295501878e-15
0.0                  -0.0                 0.0                  -1.3322676295501878e-15
0.0                  -0.0                 0.0                  -1.3322676295501878e-15
0.0                  -0.0                 0.0                  -1.339206523454095e-15
0.0                  -0.0                 0.0                  -1.3322676295501878e-15
0.0                  -0.0                 0.0                  -1.3322676295501878e-15
2.5555               -1.0                 1.5554999999999999   0.9999999999999987  
5.111                -2.0                 3.1109999999999998   1.9999999999999996  
5.111                -2.0                 3.1109999999999998   1.9999999999999996  
5.111                -2.0                 3.1109999999999998   1.9999999999999996  
5.111                -1.0                 4.111                1.9999999999999996  
0.0                  -0.0                 0.0                  -3.3306690738754696e-16
0.0                  -0.0                 0.0                  -3.3306690738754696e-16
2.5555               -2.0                 0.5554999999999999   0.9999999999999999  
2.5555               -0.0                 2.5555               1.0                 
0.0                  -0.0                 0.0                  0.0                 
0.0                  -0.0                 0.0                  0.0                 
2.5555               -1.0                 1.5554999999999999   1.0000000000000004  
2.5555               -0.0                 2.5555               1.0000000000000004  
2.5555               -0.0                 2.5555               1.0000000000000004  
0.0                  -0.0                 0.0                  4.440892098500626e-16
2.5555               -1.0                 1.5554999999999999   1.0000000000000004  
2.5555               -1.0                 1.5554999999999999   1.0000000000000004  
0.0                  -0.0                 0.0                  4.440892098500626e-16
2.5555               -1.0                 1.5554999999999999   1.0000000000000004  
2.5555               -1.0                 1.5554999999999999   1.0000000000000004  
5.111                -1.0                 4.111                2.0000000000000004  
5.111                -1.0                 4.111                2.0                 
0.0                  -0.0                 0.0                  -5.551115123125783e-16
0.0                  -0.0                 0.0                  -5.551115123125783e-16
0.0                  -0.0                 0.0                  -5.551115123125783e-16
0.0                  -0.0                 0.0                  -4.440892098500626e-16
2.5555               -2.0                 0.5554999999999999   0.9999999999999996  
2.5555               -1.0                 1.5554999999999999   0.9999999999999996  
2.5555               -1.0                 1.5554999999999999   0.9999999999999994  
2.5555               -1.0                 1.5554999999999999   0.9999999999999996  
2.5555               -1.0                 1.5554999999999999   0.9999999999999994  
2.5555               -1.0                 1.5554999999999999   0.9999999999999996  
2.5555               -1.0                 1.5554999999999999   0.9999999999999993  
5.111                -2.0                 3.1109999999999998   1.9999999999999993  
2.5555               -1.0                 1.5554999999999999   0.9999999999999993  
0.0                  -0.0                 0.0                  -6.661338147750939e-16
0.0                  -0.0                 0.0                  -6.661338147750939e-16
0.0                  -0.0                 0.0                  -6.661338147750939e-16
0.0                  -0.0                 0.0                  -6.661338147750939e-16
0.0                  -0.0                 0.0                  -6.661338147750939e-16
0.0                  -0.0                 0.0                  -6.661338147750939e-16
0.0                  -0.0                 0.0                  -6.106226635438361e-16
5.111                -1.0                 4.111                1.9999999999999991  
5.111                -1.0                 4.111                1.9999999999999991  
5.111                -2.0                 3.1109999999999998   1.9999999999999991  
5.111                -1.0                 4.111                1.9999999999999984  
5.111                -2.0                 3.1109999999999998   1.9999999999999982  
5.111                -3.0                 2.1109999999999998   1.9999999999999982  
5.111                -2.0                 3.1109999999999998   1.9999999999999984  
0.0                  -0.0                 0.0                  -1.6653345369377348e-15
0.0                  -0.0                 0.0                  -1.6653345369377348e-15
2.5555               -1.0                 1.5554999999999999   0.9999999999999983  
0.0                  -0.0                 0.0                  -1.9984014443252818e-15
