# L=4,N=4,U=0.0000,mu=-3.0000,t=1.0000,eta=0.1768,beta=1.0000,tau_slice=0.5000,M=500000
# H_0/t              H_1/t                E/t                  N             
6.0                  -5.0                 1.0                  1.9999999999999996  
0.0                  -0.0                 0.0                  -5.134781488891349e-16
3.0                  -5.0                 -2.0                 0.9999999999999996  
3.0                  -10.0                -7.0                 0.9999999999999993  
3.0                  -15.0                -12.0                0.9999999999999994  
3.0                  -15.0                -12.0                0.9999999999999994  
3.0                  -10.0                -7.0                 0.9999999999999992  
3.0                  -5.0                 -2.0                 0.9999999999999991  
3.0                  -10.0                -7.0                 0.9999999999999991  
6.0                  -10.0                -4.0                 1.9999999999999991  
12.0                 -0.0                 12.0                 4.0                 
12.0                 -0.0                 12.0                 4.0                 
12.0                 -5.0                 7.0                  3.9999999999999996  
12.0                 -5.0                 7.0                  3.999999999999999   
12.0                 -5.0                 7.0                  3.999999999999999   
12.0                 -5.0                 7.0                  3.9999999999999996  
12.0                 -5.0                 7.0                  3.999999999999999   
12.0                 -5.0                 7.0                  3.999999999999999   
12.0                 -5.0                 7.0                  3.999999999999999   
12.0                 -5.0                 7.0                  3.999999999999999   
12.0                 -5.0                 7.0                  3.9999999999999996  
3.0                  -0.0                 3.0                  1.0000000000000004  
3.0                  -0.0                 3.0                  1.0000000000000009  
3.0                  -0.0                 3.0                  1.0000000000000007  
3.0                  -0.0                 3.0                  1.0000000000000016  
3.0                  -0.0                 3.0                  1.0000000000000016  
3.0                  -0.0                 3.0                  1.0000000000000016  
3.0                  -0.0                 3.0                  1.0000000000000009  
9.0                  -5.0                 4.0                  3.0000000000000013  
9.0                  -5.0                 4.0                  3.000000000000001   
9.0                  -5.0                 4.0                  3.000000000000001   
9.0                  -5.0                 4.0                  3.000000000000001   
9.0                  -5.0                 4.0                  3.000000000000001   
9.0                  -5.0                 4.0                  3.000000000000001   
9.0                  -5.0                 4.0                  3.000000000000001   
9.0                  -5.0                 4.0                  3.000000000000001   
12.0                 -5.0                 7.0                  4.000000000000002   
9.0                  -5.0                 4.0                  3.0000000000000018  
12.0                 -0.0                 12.0                 4.000000000000002   
12.0                 -10.0                2.0                  4.000000000000002   
12.0                 -10.0                2.0                  4.000000000000002   
12.0                 -10.0                2.0                  4.000000000000002   
12.0                 -0.0                 12.0                 4.000000000000002   
9.0                  -0.0                 9.0                  3.000000000000004   
9.0                  -0.0                 9.0                  3.000000000000004   
9.0                  -0.0                 9.0                  3.0000000000000044  
9.0                  -5.0                 4.0                  3.0000000000000044  
6.0                  -5.0                 1.0                  2.0000000000000053  
6.0                  -5.0                 1.0                  2.0000000000000053  
6.0                  -5.0                 1.0                  2.0000000000000053  
6.0                  -5.0                 1.0                  2.0000000000000053  
6.0                  -5.0                 1.0                  2.0000000000000044  
3.0                  -5.0                 -2.0                 1.000000000000004   
3.0                  -5.0                 -2.0                 1.000000000000004   
3.0                  -0.0                 3.0                  1.000000000000004   
3.0                  -0.0                 3.0                  1.0000000000000038  
3.0                  -0.0                 3.0                  1.0000000000000036  
3.0                  -0.0                 3.0                  1.0000000000000036  
3.0                  -0.0                 3.0                  1.0000000000000036  
0.0                  -0.0                 0.0                  3.497202527569243e-15
6.0                  -0.0                 6.0                  2.0000000000000036  
6.0                  -5.0                 1.0                  2.0000000000000036  
6.0                  -10.0                -4.0                 2.0000000000000036  
6.0                  -0.0                 6.0                  2.0000000000000036  
9.0                  -0.0                 9.0                  3.000000000000004   
3.0                  -0.0                 3.0                  1.0000000000000049  
3.0                  -0.0                 3.0                  1.0000000000000049  
9.0                  -0.0                 9.0                  3.0000000000000044  
9.0                  -10.0                -1.0                 3.0000000000000053  
9.0                  -10.0                -1.0                 3.0000000000000053  
12.0                 -0.0                 12.0                 4.000000000000006   
12.0                 -0.0                 12.0                 4.000000000000007   
12.0                 -5.0                 7.0                  4.000000000000006   
9.0                  -0.0                 9.0                  3.0000000000000058  
12.0                 -0.0                 12.0                 4.000000000000005   
12.0                 -0.0                 12.0                 4.000000000000004   
12.0                 -0.0                 12.0                 4.000000000000004   
9.0                  -0.0                 9.0                  3.0000000000000044  
9.0                  -0.0                 9.0                  3.000000000000004   
9.0                  -0.0                 9.0                  3.0000000000000036  
9.0                  -0.0                 9.0                  3.000000000000003   
9.0                  -0.0                 9.0                  3.000000000000003   
9.0                  -0.0                 9.0                  3.0000000000000027  
12.0                 -10.0                2.0                  4.0000000000000036  
