# L=4,N=4,U=1.0000,mu=1.0000,t=1.0000,eta=0.1606,beta=1.0000,tau_slice=0.8421,M=100000
# H_0/t              H_1/t                E/t                  N             
6.0                  -2.0                 4.0                  3.9999999999999996  
3.0                  -2.0                 1.0                  3.999999999999999   
3.0                  -2.0                 1.0                  3.999999999999999   
3.0                  -2.0                 1.0                  3.999999999999998   
3.0                  -4.0                 -1.0                 3.9999999999999996  
1.0                  -2.0                 -1.0                 4.000000000000001   
3.0                  -4.0                 -1.0                 3.9999999999999973  
2.0                  -4.0                 -2.0                 3.9999999999999956  
1.0                  -4.0                 -3.0                 3.9999999999999876  
1.0                  -4.0                 -3.0                 3.999999999999987   
1.0                  -6.0                 -5.0                 3.9999999999999867  
1.0                  -6.0                 -5.0                 3.9999999999999862  
1.0                  -6.0                 -5.0                 3.9999999999999867  
3.0                  -4.0                 -1.0                 3.9999999999999822  
3.0                  -4.0                 -1.0                 3.9999999999999827  
1.0                  -4.0                 -3.0                 3.9999999999999836  
1.0                  -4.0                 -3.0                 3.9999999999999836  
1.0                  -4.0                 -3.0                 3.999999999999984   
0.0                  -6.0                 -6.0                 3.999999999999985   
0.0                  -6.0                 -6.0                 3.999999999999984   
2.0                  -6.0                 -4.0                 3.9999999999999845  
1.0                  -4.0                 -3.0                 3.999999999999984   
1.0                  -4.0                 -3.0                 3.999999999999985   
0.0                  -2.0                 -2.0                 3.9999999999999876  
0.0                  -2.0                 -2.0                 3.999999999999987   
1.0                  -0.0                 1.0                  3.999999999999987   
1.0                  -4.0                 -3.0                 3.999999999999988   
1.0                  -0.0                 1.0                  3.9999999999999885  
1.0                  -0.0                 1.0                  3.9999999999999885  
1.0                  -0.0                 1.0                  3.9999999999999876  
1.0                  -0.0                 1.0                  3.999999999999988   
1.0                  -4.0                 -3.0                 3.9999999999999885  
1.0                  -4.0                 -3.0                 3.9999999999999885  
1.0                  -4.0                 -3.0                 3.999999999999988   
1.0                  -4.0                 -3.0                 3.9999999999999876  
1.0                  -4.0                 -3.0                 3.9999999999999876  
1.0                  -4.0                 -3.0                 3.9999999999999876  
2.0                  -4.0                 -2.0                 3.9999999999999876  
3.0                  -6.0                 -3.0                 3.9999999999999862  
3.0                  -6.0                 -3.0                 3.999999999999986   
3.0                  -6.0                 -3.0                 3.999999999999986   
3.0                  -6.0                 -3.0                 3.999999999999986   
3.0                  -6.0                 -3.0                 3.9999999999999827  
2.0                  -2.0                 0.0                  3.999999999999983   
0.0                  -4.0                 -4.0                 3.9999999999999827  
0.0                  -4.0                 -4.0                 3.9999999999999822  
3.0                  -8.0                 -5.0                 3.999999999999985   
3.0                  -8.0                 -5.0                 3.999999999999985   
1.0                  -10.0                -9.0                 3.9999999999999845  
1.0                  -10.0                -9.0                 3.9999999999999845  
1.0                  -10.0                -9.0                 3.999999999999984   
1.0                  -10.0                -9.0                 3.999999999999985   
1.0                  -10.0                -9.0                 3.999999999999985   
1.0                  -10.0                -9.0                 3.9999999999999853  
1.0                  -10.0                -9.0                 3.9999999999999853  
1.0                  -10.0                -9.0                 3.999999999999986   
0.0                  -8.0                 -8.0                 3.9999999999999862  
0.0                  -8.0                 -8.0                 3.9999999999999862  
0.0                  -8.0                 -8.0                 3.999999999999986   
1.0                  -4.0                 -3.0                 3.9999999999999893  
1.0                  -8.0                 -7.0                 3.9999999999999893  
1.0                  -8.0                 -7.0                 3.9999999999999867  
1.0                  -8.0                 -7.0                 3.9999999999999867  
1.0                  -2.0                 -1.0                 3.999999999999986   
3.0                  -6.0                 -3.0                 3.999999999999986   
3.0                  -4.0                 -1.0                 3.999999999999988   
0.0                  -2.0                 -2.0                 3.9999999999999876  
1.0                  -2.0                 -1.0                 3.9999999999999876  
2.0                  -4.0                 -2.0                 3.9999999999999876  
2.0                  -2.0                 0.0                  3.999999999999987   
1.0                  -4.0                 -3.0                 3.9999999999999867  
1.0                  -4.0                 -3.0                 3.9999999999999867  
1.0                  -4.0                 -3.0                 3.9999999999999867  
0.0                  -2.0                 -2.0                 3.9999999999999867  
0.0                  -2.0                 -2.0                 3.9999999999999867  
0.0                  -4.0                 -4.0                 3.9999999999999862  
1.0                  -4.0                 -3.0                 3.999999999999986   
1.0                  -4.0                 -3.0                 3.9999999999999862  
1.0                  -4.0                 -3.0                 3.999999999999986   
1.0                  -4.0                 -3.0                 3.999999999999986   
1.0                  -4.0                 -3.0                 3.999999999999986   
1.0                  -4.0                 -3.0                 3.999999999999986   
1.0                  -4.0                 -3.0                 3.999999999999983   
1.0                  -4.0                 -3.0                 3.999999999999983   
1.0                  -4.0                 -3.0                 3.9999999999999836  
1.0                  -4.0                 -3.0                 3.9999999999999845  
1.0                  -4.0                 -3.0                 3.9999999999999822  
1.0                  -4.0                 -3.0                 3.9999999999999822  
2.0                  -4.0                 -2.0                 3.999999999999983   
2.0                  -4.0                 -2.0                 3.999999999999983   
1.0                  -2.0                 -1.0                 3.9999999999999822  
1.0                  -2.0                 -1.0                 3.9999999999999827  
1.0                  -2.0                 -1.0                 3.999999999999982   
1.0                  -2.0                 -1.0                 3.999999999999982   
3.0                  -2.0                 1.0                  3.9999999999999787  
1.0                  -2.0                 -1.0                 3.9999999999999796  
1.0                  -2.0                 -1.0                 3.999999999999979   
1.0                  -2.0                 -1.0                 3.9999999999999787  
1.0                  -2.0                 -1.0                 3.9999999999999787  
1.0                  -2.0                 -1.0                 3.9999999999999787  
1.0                  -2.0                 -1.0                 3.9999999999999774  
1.0                  -2.0                 -1.0                 3.9999999999999765  
1.0                  -4.0                 -3.0                 3.999999999999977   
1.0                  -4.0                 -3.0                 3.9999999999999774  
1.0                  -6.0                 -5.0                 3.9999999999999782  
1.0                  -6.0                 -5.0                 3.9999999999999782  
1.0                  -8.0                 -7.0                 3.9999999999999787  
3.0                  -4.0                 -1.0                 3.999999999999978   
1.0                  -6.0                 -5.0                 3.999999999999982   
2.0                  -8.0                 -6.0                 3.9999999999999813  
2.0                  -8.0                 -6.0                 3.9999999999999805  
2.0                  -8.0                 -6.0                 3.9999999999999805  
2.0                  -8.0                 -6.0                 3.9999999999999805  
2.0                  -8.0                 -6.0                 3.9999999999999805  
2.0                  -8.0                 -6.0                 3.9999999999999805  
2.0                  -8.0                 -6.0                 3.999999999999981   
1.0                  -2.0                 -1.0                 3.999999999999977   
0.0                  -4.0                 -4.0                 3.999999999999978   
0.0                  -4.0                 -4.0                 3.9999999999999774  
1.0                  -2.0                 -1.0                 3.9999999999999756  
1.0                  -2.0                 -1.0                 3.999999999999975   
1.0                  -2.0                 -1.0                 3.999999999999975   
1.0                  -6.0                 -5.0                 3.9999999999999747  
1.0                  -6.0                 -5.0                 3.999999999999975   
1.0                  -6.0                 -5.0                 3.999999999999975   
1.0                  -6.0                 -5.0                 3.999999999999975   
1.0                  -6.0                 -5.0                 3.9999999999999765  
1.0                  -2.0                 -1.0                 3.999999999999971   
0.0                  -4.0                 -4.0                 3.9999999999999742  
2.0                  -4.0                 -2.0                 3.999999999999974   
2.0                  -4.0                 -2.0                 3.999999999999974   
3.0                  -6.0                 -3.0                 3.9999999999999725  
