# L=4,N=4,U=0.0000,mu=-2.4000,t=1.0000,eta=0.1694,beta=1.0000,tau_slice=0.8947,M=100000
# H_0/t              H_1/t                E/t                  N             
0.0                  -2.0                 -2.0                 4.0                 
0.0                  -4.0                 -4.0                 4.0                 
0.0                  -2.0                 -2.0                 4.0                 
1.7763568394002505e-15 -2.0                 -1.9999999999999982  3.9999999999999996  
1.7763568394002505e-15 -2.0                 -1.9999999999999982  3.9999999999999996  
1.7763568394002505e-15 -6.0                 -5.999999999999998   3.999999999999999   
1.7763568394002505e-15 -4.0                 -3.9999999999999982  3.999999999999999   
1.7763568394002505e-15 -4.0                 -3.9999999999999982  3.9999999999999996  
1.7763568394002505e-15 -4.0                 -3.9999999999999982  3.9999999999999996  
1.7763568394002505e-15 -4.0                 -3.9999999999999982  3.999999999999999   
1.7763568394002505e-15 -4.0                 -3.9999999999999982  3.999999999999999   
0.0                  -4.0                 -4.0                 4.0                 
-1.7763568394002505e-15 -4.0                 -4.000000000000002   4.000000000000001   
-3.552713678800501e-15 -2.0                 -2.0000000000000036  4.000000000000002   
-3.552713678800501e-15 -2.0                 -2.0000000000000036  4.000000000000002   
-7.105427357601002e-15 -0.0                 -7.105427357601002e-15 4.000000000000003   
-3.552713678800501e-15 -0.0                 -3.552713678800501e-15 4.000000000000002   
-7.105427357601002e-15 -2.0                 -2.000000000000007   4.000000000000003   
-7.105427357601002e-15 -2.0                 -2.000000000000007   4.000000000000003   
-7.105427357601002e-15 -4.0                 -4.000000000000007   4.000000000000003   
-7.105427357601002e-15 -4.0                 -4.000000000000007   4.000000000000003   
-1.0658141036401503e-14 -2.0                 -2.0000000000000107  4.000000000000004   
-3.552713678800501e-15 -8.0                 -8.000000000000004   4.000000000000002   
-8.881784197001252e-15 -0.0                 -8.881784197001252e-15 4.0000000000000036  
-8.881784197001252e-15 -8.0                 -8.000000000000009   4.0000000000000036  
-8.881784197001252e-15 -8.0                 -8.000000000000009   4.0000000000000036  
-8.881784197001252e-15 -8.0                 -8.000000000000009   4.0000000000000036  
-8.881784197001252e-15 -8.0                 -8.000000000000009   4.0000000000000036  
-1.0658141036401503e-14 -8.0                 -8.00000000000001    4.000000000000004   
-7.105427357601002e-15 -10.0                -10.000000000000007  4.000000000000003   
-7.105427357601002e-15 -10.0                -10.000000000000007  4.000000000000003   
-8.881784197001252e-15 -10.0                -10.000000000000009  4.0000000000000036  
-8.881784197001252e-15 -10.0                -10.000000000000009  4.0000000000000036  
-8.881784197001252e-15 -10.0                -10.000000000000009  4.0000000000000036  
-3.552713678800501e-15 -10.0                -10.000000000000004  4.000000000000002   
-3.552713678800501e-15 -12.0                -12.000000000000004  4.000000000000002   
-3.552713678800501e-15 -12.0                -12.000000000000004  4.000000000000002   
-7.105427357601002e-15 -12.0                -12.000000000000007  4.000000000000003   
-7.105427357601002e-15 -10.0                -10.000000000000007  4.000000000000003   
-7.105427357601002e-15 -10.0                -10.000000000000007  4.000000000000003   
-7.105427357601002e-15 -10.0                -10.000000000000007  4.000000000000003   
-8.881784197001252e-15 -10.0                -10.000000000000009  4.0000000000000036  
-8.881784197001252e-15 -10.0                -10.000000000000009  4.0000000000000036  
-1.0658141036401503e-14 -10.0                -10.00000000000001   4.000000000000004   
-1.0658141036401503e-14 -10.0                -10.00000000000001   4.000000000000004   
-8.881784197001252e-15 -8.0                 -8.000000000000009   4.0000000000000036  
-1.2434497875801753e-14 -12.0                -12.000000000000012  4.000000000000005   
-1.7763568394002505e-14 -10.0                -10.000000000000018  4.000000000000007   
-3.019806626980426e-14 -8.0                 -8.00000000000003    4.000000000000012   
-3.019806626980426e-14 -8.0                 -8.00000000000003    4.000000000000012   
-3.019806626980426e-14 -8.0                 -8.00000000000003    4.000000000000012   
-3.019806626980426e-14 -8.0                 -8.00000000000003    4.000000000000012   
-2.842170943040401e-14 -6.0                 -6.000000000000028   4.0000000000000115  
-3.019806626980426e-14 -6.0                 -6.00000000000003    4.000000000000012   
-2.842170943040401e-14 -6.0                 -6.000000000000028   4.0000000000000115  
-2.4868995751603507e-14 -6.0                 -6.000000000000025   4.000000000000011   
-2.4868995751603507e-14 -6.0                 -6.000000000000025   4.000000000000011   
-2.4868995751603507e-14 -6.0                 -6.000000000000025   4.000000000000011   
-3.197442310920451e-14 -4.0                 -4.000000000000032   4.000000000000013   
-3.197442310920451e-14 -6.0                 -6.000000000000032   4.000000000000013   
-3.375077994860476e-14 -4.0                 -4.000000000000034   4.000000000000014   
-3.552713678800501e-14 -4.0                 -4.0000000000000355  4.000000000000015   
-3.552713678800501e-14 -4.0                 -4.0000000000000355  4.000000000000015   
-3.552713678800501e-14 -4.0                 -4.0000000000000355  4.000000000000015   
-3.907985046680551e-14 -4.0                 -4.000000000000039   4.000000000000016   
-3.907985046680551e-14 -4.0                 -4.000000000000039   4.000000000000016   
-3.907985046680551e-14 -4.0                 -4.000000000000039   4.000000000000016   
-3.907985046680551e-14 -4.0                 -4.000000000000039   4.000000000000016   
-4.085620730620576e-14 -4.0                 -4.000000000000041   4.000000000000017   
-4.263256414560601e-14 -4.0                 -4.000000000000043   4.000000000000018   
-4.263256414560601e-14 -4.0                 -4.000000000000043   4.000000000000018   
-4.263256414560601e-14 -4.0                 -4.000000000000043   4.000000000000018   
-4.263256414560601e-14 -4.0                 -4.000000000000043   4.000000000000018   
-4.263256414560601e-14 -4.0                 -4.000000000000043   4.000000000000018   
-4.263256414560601e-14 -4.0                 -4.000000000000043   4.000000000000018   
-4.263256414560601e-14 -4.0                 -4.000000000000043   4.000000000000018   
-4.263256414560601e-14 -4.0                 -4.000000000000043   4.000000000000018   
-4.263256414560601e-14 -4.0                 -4.000000000000043   4.000000000000018   
-4.263256414560601e-14 -4.0                 -4.000000000000043   4.000000000000018   
-4.085620730620576e-14 -6.0                 -6.000000000000041   4.000000000000017   
-4.263256414560601e-14 -6.0                 -6.000000000000043   4.000000000000018   
-4.263256414560601e-14 -6.0                 -6.000000000000043   4.000000000000018   
-4.440892098500626e-14 -6.0                 -6.000000000000044   4.000000000000019   
-4.085620730620576e-14 -6.0                 -6.000000000000041   4.000000000000017   
-4.263256414560601e-14 -8.0                 -8.000000000000043   4.000000000000018   
-4.440892098500626e-14 -8.0                 -8.000000000000044   4.000000000000019   
-4.440892098500626e-14 -2.0                 -2.0000000000000444  4.000000000000019   
-5.3290705182007514e-14 -8.0                 -8.000000000000053   4.000000000000022   
-5.3290705182007514e-14 -8.0                 -8.000000000000053   4.000000000000022   
-5.1514348342607263e-14 -10.0                -10.000000000000052  4.000000000000021   
-5.1514348342607263e-14 -10.0                -10.000000000000052  4.000000000000021   
-4.618527782440651e-14 -6.0                 -6.000000000000046   4.0000000000000195  
-5.1514348342607263e-14 -6.0                 -6.0000000000000515  4.000000000000021   
-5.1514348342607263e-14 -6.0                 -6.0000000000000515  4.000000000000021   
-5.1514348342607263e-14 -6.0                 -6.0000000000000515  4.000000000000021   
-5.1514348342607263e-14 -4.0                 -4.0000000000000515  4.000000000000021   
-5.1514348342607263e-14 -4.0                 -4.0000000000000515  4.000000000000021   
