# L=4,N=4,U=0.0000,mu=0.0000,t=1.0000,eta=0.0369,beta=7.5000,M=500000
# H_0/t              H_1/t                E/t                  N             
0.0                  -2.4                 -2.4                 8.0                 
0.0                  -2.4                 -2.4                 8.0                 
0.0                  -2.4                 -2.4                 8.0                 
0.0                  -2.4                 -2.4                 8.0                 
0.0                  -2.4                 -2.4                 8.0                 
0.0                  -2.2666666666666666  -2.2666666666666666  8.0                 
0.0                  -2.2666666666666666  -2.2666666666666666  8.0                 
0.0                  -2.2666666666666666  -2.2666666666666666  8.0                 
0.0                  -2.2666666666666666  -2.2666666666666666  8.0                 
0.0                  -2.2666666666666666  -2.2666666666666666  8.0                 
0.0                  -2.2666666666666666  -2.2666666666666666  8.0                 
0.0                  -2.2666666666666666  -2.2666666666666666  8.0                 
0.0                  -2.4                 -2.4                 9.0                 
0.0                  -2.4                 -2.4                 9.0                 
0.0                  -2.4                 -2.4                 9.0                 
0.0                  -2.4                 -2.4                 9.0                 
0.0                  -2.1333333333333333  -2.1333333333333333  10.0                
0.0                  -2.1333333333333333  -2.1333333333333333  10.0                
0.0                  -2.1333333333333333  -2.1333333333333333  10.0                
0.0                  -2.1333333333333333  -2.1333333333333333  10.0                
0.0                  -2.1333333333333333  -2.1333333333333333  10.0                
0.0                  -2.1333333333333333  -2.1333333333333333  10.0                
0.0                  -2.1333333333333333  -2.1333333333333333  10.0                
0.0                  -2.1333333333333333  -2.1333333333333333  10.0                
0.0                  -2.1333333333333333  -2.1333333333333333  10.0                
0.0                  -2.1333333333333333  -2.1333333333333333  10.0                
0.0                  -2.1333333333333333  -2.1333333333333333  10.0                
0.0                  -2.533333333333333   -2.533333333333333   11.0                
0.0                  -2.533333333333333   -2.533333333333333   11.0                
0.0                  -2.533333333333333   -2.533333333333333   11.0                
0.0                  -2.533333333333333   -2.533333333333333   11.0                
0.0                  -2.533333333333333   -2.533333333333333   11.0                
0.0                  -2.533333333333333   -2.533333333333333   11.0                
0.0                  -2.533333333333333   -2.533333333333333   11.0                
0.0                  -2.533333333333333   -2.533333333333333   11.0                
0.0                  -2.533333333333333   -2.533333333333333   11.0                
0.0                  -2.533333333333333   -2.533333333333333   11.0                
0.0                  -2.533333333333333   -2.533333333333333   11.0                
0.0                  -2.533333333333333   -2.533333333333333   11.0                
0.0                  -2.533333333333333   -2.533333333333333   11.0                
0.0                  -2.533333333333333   -2.533333333333333   11.0                
0.0                  -3.2                 -3.2                 12.0                
0.0                  -3.2                 -3.2                 12.0                
0.0                  -3.2                 -3.2                 12.0                
0.0                  -3.2                 -3.2                 12.0                
0.0                  -3.2                 -3.2                 12.0                
0.0                  -3.2                 -3.2                 12.0                
0.0                  -3.2                 -3.2                 12.0                
0.0                  -3.2                 -3.2                 12.0                
0.0                  -3.2                 -3.2                 12.0                
0.0                  -3.2                 -3.2                 12.0                
0.0                  -3.2                 -3.2                 12.0                
0.0                  -3.2                 -3.2                 12.0                
0.0                  -3.2                 -3.2                 12.0                
0.0                  -3.2                 -3.2                 12.0                
0.0                  -3.2                 -3.2                 12.0                
0.0                  -3.2                 -3.2                 12.0                
0.0                  -3.2                 -3.2                 12.0                
0.0                  -2.8                 -2.8                 12.0                
0.0                  -2.8                 -2.8                 12.0                
0.0                  -5.2                 -5.2                 14.0                
0.0                  -5.2                 -5.2                 14.0                
0.0                  -5.2                 -5.2                 14.0                
0.0                  -5.2                 -5.2                 14.0                
0.0                  -5.2                 -5.2                 14.0                
0.0                  -5.2                 -5.2                 14.0                
0.0                  -5.866666666666666   -5.866666666666666   16.0                
0.0                  -5.866666666666666   -5.866666666666666   16.0                
0.0                  -5.866666666666666   -5.866666666666666   16.0                
0.0                  -5.866666666666666   -5.866666666666666   16.0                
0.0                  -5.866666666666666   -5.866666666666666   16.0                
0.0                  -5.866666666666666   -5.866666666666666   16.0                
0.0                  -5.866666666666666   -5.866666666666666   16.0                
0.0                  -5.866666666666666   -5.866666666666666   16.0                
0.0                  -5.866666666666666   -5.866666666666666   16.0                
0.0                  -5.866666666666666   -5.866666666666666   16.0                
0.0                  -5.466666666666667   -5.466666666666667   17.0                
