# L=4,N=4,U=0.0000,mu=0.0000,t=1.0000,eta=0.0549,beta=2.0000,M=500000
# H_0/t              H_1/t                E/t                  N             
0.0                  -1.0                 -1.0                 5.0                 
0.0                  -1.0                 -1.0                 5.0                 
0.0                  -1.0                 -1.0                 5.0                 
0.0                  -2.0                 -2.0                 6.0                 
0.0                  -3.5                 -3.5                 7.0                 
0.0                  -3.5                 -3.5                 7.0                 
0.0                  -3.5                 -3.5                 7.0                 
0.0                  -3.5                 -3.5                 7.0                 
0.0                  -3.5                 -3.5                 7.0                 
0.0                  -3.5                 -3.5                 7.0                 
0.0                  -3.5                 -3.5                 7.0                 
0.0                  -3.0                 -3.0                 7.0                 
0.0                  -3.0                 -3.0                 7.0                 
0.0                  -3.0                 -3.0                 7.0                 
0.0                  -3.0                 -3.0                 7.0                 
0.0                  -3.0                 -3.0                 7.0                 
0.0                  -3.0                 -3.0                 7.0                 
0.0                  -3.0                 -3.0                 7.0                 
0.0                  -3.0                 -3.0                 7.0                 
0.0                  -3.0                 -3.0                 7.0                 
0.0                  -3.0                 -3.0                 7.0                 
0.0                  -3.0                 -3.0                 7.0                 
0.0                  -3.0                 -3.0                 7.0                 
0.0                  -3.0                 -3.0                 7.0                 
0.0                  -3.0                 -3.0                 7.0                 
0.0                  -3.0                 -3.0                 7.0                 
0.0                  -1.5                 -1.5                 7.0                 
0.0                  -1.5                 -1.5                 8.0                 
0.0                  -1.5                 -1.5                 8.0                 
0.0                  -1.5                 -1.5                 8.0                 
0.0                  -1.5                 -1.5                 8.0                 
0.0                  -1.5                 -1.5                 8.0                 
0.0                  -1.5                 -1.5                 8.0                 
0.0                  -1.5                 -1.5                 8.0                 
0.0                  -1.5                 -1.5                 8.0                 
0.0                  -1.5                 -1.5                 8.0                 
0.0                  -1.5                 -1.5                 8.0                 
0.0                  -1.5                 -1.5                 8.0                 
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -3.5                 -3.5                 10.0                
0.0                  -4.5                 -4.5                 10.0                
0.0                  -4.5                 -4.5                 10.0                
0.0                  -4.5                 -4.5                 10.0                
0.0                  -4.5                 -4.5                 10.0                
0.0                  -4.5                 -4.5                 10.0                
0.0                  -4.5                 -4.5                 10.0                
